dataset,scaler,stratify,classifier,seed,acc_correct,uar_correct,acc_leakage,uar_leakage
voiced,StandardScaler,True,mlp,2,0.6428571428571429,0.6,0.7142857142857143,0.625
svd,StandardScaler,False,svm,2,0.850609756097561,0.8500592349142049,0.8536585365853658,0.8526770359613254
svd,StandardScaler,False,knn,2,0.7195121951219512,0.705506936217373,0.7317073170731707,0.7201054763633584
svd,StandardScaler,False,gaussianNB,2,0.6280487804878049,0.6599915924637902,0.6280487804878049,0.6599915924637902
svd,StandardScaler,False,lda,2,0.8170731707317073,0.8161042534490006,0.8170731707317073,0.8161042534490006
svd,StandardScaler,False,qda,2,0.7347560975609756,0.7485191271448771,0.7317073170731707,0.7459013260977567
svd,StandardScaler,False,dt,2,0.823170731707317,0.813085183628234,0.823170731707317,0.813085183628234
svd,StandardScaler,False,rf,2,0.8445121951219512,0.8334734589368288,0.8445121951219512,0.8334734589368288
svd,StandardScaler,False,adaboost,2,0.8170731707317073,0.8047540795658654,0.8170731707317073,0.8047540795658654
svd,StandardScaler,False,mlp,2,0.801829268292683,0.7916650743302633,0.8109756097560976,0.8015821454503764
voiced,StandardScaler,False,svm,2,0.6904761904761905,0.6176470588235294,0.6904761904761905,0.6176470588235294
voiced,StandardScaler,False,knn,2,0.6666666666666666,0.5882352941176471,0.6666666666666666,0.5882352941176471
voiced,StandardScaler,False,gaussianNB,2,0.5476190476190477,0.591764705882353,0.5476190476190477,0.591764705882353
voiced,StandardScaler,False,lda,2,0.5714285714285714,0.5741176470588236,0.5714285714285714,0.5741176470588236
voiced,StandardScaler,False,qda,2,0.5238095238095238,0.4682352941176471,0.5714285714285714,0.64
voiced,StandardScaler,False,dt,2,0.6428571428571429,0.5588235294117647,0.6428571428571429,0.5588235294117647
voiced,StandardScaler,False,rf,2,0.6666666666666666,0.5976470588235294,0.6666666666666666,0.5976470588235294
voiced,StandardScaler,False,adaboost,2,0.6666666666666666,0.5882352941176471,0.6666666666666666,0.5882352941176471
voiced,StandardScaler,False,mlp,2,0.6666666666666666,0.5976470588235294,0.6904761904761905,0.6176470588235294
svd,StandardScaler,True,svm,3,0.8292682926829268,0.8311688311688312,0.8292682926829268,0.8311688311688312
svd,StandardScaler,True,knn,3,0.7378048780487805,0.7323747680890538,0.75,0.7438157081014224
svd,StandardScaler,True,gaussianNB,3,0.5823170731707317,0.6307204700061843,0.5762195121951219,0.6256184291898578
svd,StandardScaler,True,lda,3,0.8445121951219512,0.8525819418676561,0.8445121951219512,0.8525819418676561
svd,StandardScaler,True,qda,3,0.6920731707317073,0.7237940630797773,0.6951219512195121,0.725108225108225
svd,StandardScaler,True,dt,3,0.8445121951219512,0.8476345083487941,0.8445121951219512,0.8476345083487941
svd,StandardScaler,True,rf,3,0.8719512195121951,0.8644094001236858,0.8719512195121951,0.8644094001236858
svd,StandardScaler,True,adaboost,3,0.8719512195121951,0.8644094001236858,0.8719512195121951,0.8644094001236858
svd,StandardScaler,True,mlp,3,0.8079268292682927,0.8058905380333952,0.8079268292682927,0.8058905380333952
voiced,StandardScaler,True,svm,3,0.7857142857142857,0.75,0.7142857142857143,0.65
voiced,StandardScaler,True,knn,3,0.7142857142857143,0.65,0.7142857142857143,0.55
voiced,StandardScaler,True,gaussianNB,3,0.4523809523809524,0.6166666666666667,0.4523809523809524,0.6166666666666667
voiced,StandardScaler,True,lda,3,0.6190476190476191,0.6083333333333334,0.6190476190476191,0.6083333333333334
voiced,StandardScaler,True,qda,3,0.5714285714285714,0.55,0.4523809523809524,0.4666666666666667
voiced,StandardScaler,True,dt,3,0.7857142857142857,0.65,0.7857142857142857,0.65
voiced,StandardScaler,True,rf,3,0.7142857142857143,0.625,0.7142857142857143,0.625
voiced,StandardScaler,True,adaboost,3,0.7380952380952381,0.6166666666666667,0.7380952380952381,0.6166666666666667
voiced,StandardScaler,True,mlp,3,0.7380952380952381,0.6416666666666667,0.7142857142857143,0.625
svd,StandardScaler,False,svm,3,0.823170731707317,0.813059505002633,0.8170731707317073,0.808320168509742
svd,StandardScaler,False,knn,3,0.7286585365853658,0.6996192327945883,0.7378048780487805,0.7105359095880424
svd,StandardScaler,False,gaussianNB,3,0.5975609756097561,0.6548385790091951,0.5975609756097561,0.6548385790091951
svd,StandardScaler,False,lda,3,0.8048780487804879,0.79884149552396,0.8048780487804879,0.79884149552396
svd,StandardScaler,False,qda,3,0.7073170731707317,0.7249159476647629,0.7042682926829268,0.7225462794183173
svd,StandardScaler,False,dt,3,0.8170731707317073,0.815935512617977,0.8170731707317073,0.815935512617977
